Shape,Label,ShapeLoc,Condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,Exclude,StrangerShape,P1Shape,P2Shape,corr,Training,nCorr,trialinblock,BlankFrames,Block,Pair Number,Participant 1 Age,Participant 2 Age,Phase
Stranger,Stranger,Bottom,Match,3,18,90,20,w,0.566803408,0,CIRCLE,DIAMOND,TRIANGLE,1,0,83,91,78,3,3,21,22,2
Stranger,P2,Bottom,Mismatch,3,19,91,23,o,0.733459481,0,CIRCLE,DIAMOND,TRIANGLE,1,0,84,92,78,3,3,21,22,2
Stranger,P2,Bottom,Mismatch,3,20,92,23,o,0.816807455,0,CIRCLE,DIAMOND,TRIANGLE,1,0,85,93,78,3,3,21,22,2
P1,Stranger,Top,Mismatch,3,21,93,2,o,0.666816949,0,CIRCLE,DIAMOND,TRIANGLE,1,0,86,94,78,3,3,21,22,2
P2,P1,Bottom,Mismatch,3,22,94,14,w,0.950268989,0,CIRCLE,DIAMOND,TRIANGLE,0,0,86,95,78,3,3,21,22,2
P2,P1,Bottom,Mismatch,3,23,95,14,o,0.883457882,0,CIRCLE,DIAMOND,TRIANGLE,1,0,87,96,78,3,3,21,22,2
P2,P2,Top,Match,4,0,96,8,o,0.800130833,0,CIRCLE,DIAMOND,TRIANGLE,0,0,87,97,78,3,3,21,22,2
P2,P2,Bottom,Match,4,1,97,12,w,0.616820246,0,CIRCLE,DIAMOND,TRIANGLE,1,0,88,98,78,3,3,21,22,2
P2,P2,Top,Match,4,2,98,9,w,0.783480267,0,CIRCLE,DIAMOND,TRIANGLE,1,0,89,99,78,3,3,21,22,2
Stranger,Stranger,Bottom,Match,4,3,99,20,w,0.783450263,0,CIRCLE,DIAMOND,TRIANGLE,1,0,90,100,78,3,3,21,22,2
Stranger,P1,Top,Mismatch,4,4,100,18,w,0.566819989,0,CIRCLE,DIAMOND,TRIANGLE,0,0,90,101,78,3,3,21,22,2
P2,P2,Bottom,Match,4,5,101,12,o,1.366764877,1,CIRCLE,DIAMOND,TRIANGLE,0,0,90,102,78,3,3,21,22,2
P1,P1,Top,Match,4,6,102,1,w,0.733482379,0,CIRCLE,DIAMOND,TRIANGLE,1,0,91,103,78,3,3,21,22,2
P1,P1,Top,Match,4,7,103,0,o,0.833466706,0,CIRCLE,DIAMOND,TRIANGLE,0,0,91,104,78,3,3,21,22,2
P2,Stranger,Top,Mismatch,4,8,104,11,o,0.750130971,0,CIRCLE,DIAMOND,TRIANGLE,1,0,92,105,78,3,3,21,22,2
P1,P1,Bottom,Match,4,9,105,5,w,0.550146525,0,CIRCLE,DIAMOND,TRIANGLE,1,0,93,106,78,3,3,21,22,2
P2,P1,Bottom,Mismatch,4,10,106,14,None,None,1,CIRCLE,DIAMOND,TRIANGLE,3,0,93,107,78,3,3,21,22,2
P2,P1,Top,Mismatch,4,11,107,10,o,0.800139123,0,CIRCLE,DIAMOND,TRIANGLE,1,0,94,108,78,3,3,21,22,2
P1,Stranger,Top,Mismatch,4,12,108,2,o,0.733561336,0,CIRCLE,DIAMOND,TRIANGLE,1,0,95,109,78,3,3,21,22,2
Stranger,P2,Top,Mismatch,4,13,109,19,o,0.700152822,0,CIRCLE,DIAMOND,TRIANGLE,1,0,96,110,78,3,3,21,22,2
P2,P2,Bottom,Match,4,14,110,13,w,0.733478826,0,CIRCLE,DIAMOND,TRIANGLE,1,0,97,111,78,3,3,21,22,2
P2,P1,Top,Mismatch,4,15,111,10,o,0.816817324,0,CIRCLE,DIAMOND,TRIANGLE,1,0,98,112,78,3,3,21,22,2
P1,Stranger,Bottom,Mismatch,4,16,112,6,o,1.00013107,0,CIRCLE,DIAMOND,TRIANGLE,1,0,99,113,78,3,3,21,22,2
P1,P1,Top,Match,4,17,113,0,w,0.566847624,0,CIRCLE,DIAMOND,TRIANGLE,1,0,100,114,78,3,3,21,22,2
P1,Stranger,Bottom,Mismatch,4,18,114,6,o,0.816790873,0,CIRCLE,DIAMOND,TRIANGLE,1,0,101,115,78,3,3,21,22,2
P2,P2,Top,Match,4,19,115,9,w,0.733462245,0,CIRCLE,DIAMOND,TRIANGLE,1,0,102,116,78,3,3,21,22,2
P1,P1,Top,Match,4,20,116,1,w,0.616806823,0,CIRCLE,DIAMOND,TRIANGLE,1,0,103,117,78,3,3,21,22,2
P1,P1,Bottom,Match,4,21,117,4,w,0.616816298,0,CIRCLE,DIAMOND,TRIANGLE,1,0,104,118,78,3,3,21,22,2
Stranger,Stranger,Top,Match,4,22,118,17,w,0.533477799,0,CIRCLE,DIAMOND,TRIANGLE,1,0,105,119,78,3,3,21,22,2
Stranger,Stranger,Top,Match,4,23,119,16,w,0.550216008,0,CIRCLE,DIAMOND,TRIANGLE,1,0,106,120,78,3,3,21,22,2
Stranger,P1,Top,Mismatch,0,0,0,18,o,1.200121042,0,CIRCLE,DIAMOND,TRIANGLE,1,0,1,1,78,4,3,21,22,2
Stranger,P2,Bottom,Mismatch,0,1,1,23,w,0.750186636,0,CIRCLE,DIAMOND,TRIANGLE,0,0,1,2,78,4,3,21,22,2
Stranger,Stranger,Top,Match,0,2,2,17,None,None,1,CIRCLE,DIAMOND,TRIANGLE,3,0,1,3,78,4,3,21,22,2
Stranger,P2,Top,Mismatch,0,3,3,19,o,0.800204658,0,CIRCLE,DIAMOND,TRIANGLE,1,0,2,4,78,4,3,21,22,2
Stranger,Stranger,Top,Match,0,4,4,16,w,0.583476872,0,CIRCLE,DIAMOND,TRIANGLE,1,0,3,5,78,4,3,21,22,2
P1,P1,Bottom,Match,0,5,5,4,w,0.616869199,0,CIRCLE,DIAMOND,TRIANGLE,1,0,4,6,78,4,3,21,22,2
P2,Stranger,Bottom,Mismatch,0,6,6,15,w,0.733472509,0,CIRCLE,DIAMOND,TRIANGLE,0,0,4,7,78,4,3,21,22,2
P2,P1,Top,Mismatch,0,7,7,10,o,0.816792847,0,CIRCLE,DIAMOND,TRIANGLE,1,0,5,8,78,4,3,21,22,2
P1,P1,Bottom,Match,0,8,8,4,w,0.533477799,0,CIRCLE,DIAMOND,TRIANGLE,1,0,6,9,78,4,3,21,22,2
P1,P1,Top,Match,0,9,9,0,w,0.833508553,0,CIRCLE,DIAMOND,TRIANGLE,1,0,7,10,78,4,3,21,22,2
P1,P1,Bottom,Match,0,10,10,4,w,0.750138867,0,CIRCLE,DIAMOND,TRIANGLE,1,0,8,11,78,4,3,21,22,2
P2,P2,Top,Match,0,11,11,9,w,0.650155329,0,CIRCLE,DIAMOND,TRIANGLE,1,0,9,12,78,4,3,21,22,2
Stranger,Stranger,Top,Match,0,12,12,16,w,0.833464337,0,CIRCLE,DIAMOND,TRIANGLE,1,0,10,13,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,0,13,13,20,w,0.683474621,0,CIRCLE,DIAMOND,TRIANGLE,1,0,11,14,78,4,3,21,22,2
Stranger,P2,Top,Mismatch,0,14,14,19,o,0.583519114,0,CIRCLE,DIAMOND,TRIANGLE,1,0,12,15,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,0,15,15,20,w,1.200120252,0,CIRCLE,DIAMOND,TRIANGLE,1,0,13,16,78,4,3,21,22,2
P2,Stranger,Bottom,Mismatch,0,16,16,15,o,0.966860731,0,CIRCLE,DIAMOND,TRIANGLE,1,0,14,17,78,4,3,21,22,2
P1,P1,Top,Match,0,17,17,1,w,0.633471996,0,CIRCLE,DIAMOND,TRIANGLE,1,0,15,18,78,4,3,21,22,2
P1,P2,Top,Mismatch,0,18,18,3,o,0.750133734,0,CIRCLE,DIAMOND,TRIANGLE,1,0,16,19,78,4,3,21,22,2
P2,P2,Bottom,Match,0,19,19,12,w,0.683481727,0,CIRCLE,DIAMOND,TRIANGLE,1,0,17,20,78,4,3,21,22,2
P2,P2,Top,Match,0,20,20,8,w,0.683479754,0,CIRCLE,DIAMOND,TRIANGLE,1,0,18,21,78,4,3,21,22,2
P1,P2,Bottom,Mismatch,0,21,21,7,o,0.850432312,0,CIRCLE,DIAMOND,TRIANGLE,1,0,19,22,78,4,3,21,22,2
P1,P1,Bottom,Match,0,22,22,4,w,0.583458317,0,CIRCLE,DIAMOND,TRIANGLE,1,0,20,23,78,4,3,21,22,2
P2,P2,Bottom,Match,0,23,23,12,w,1.316803704,1,CIRCLE,DIAMOND,TRIANGLE,1,0,21,24,78,4,3,21,22,2
Stranger,P1,Top,Mismatch,1,0,24,18,o,0.783496453,0,CIRCLE,DIAMOND,TRIANGLE,1,0,22,25,78,4,3,21,22,2
P1,P1,Top,Match,1,1,25,0,w,0.600168101,0,CIRCLE,DIAMOND,TRIANGLE,1,0,23,26,78,4,3,21,22,2
P2,P1,Top,Mismatch,1,2,26,10,o,0.716812468,0,CIRCLE,DIAMOND,TRIANGLE,1,0,24,27,78,4,3,21,22,2
P1,P1,Bottom,Match,1,3,27,5,w,0.50023628,0,CIRCLE,DIAMOND,TRIANGLE,1,0,25,28,78,4,3,21,22,2
P2,P2,Top,Match,1,4,28,9,w,0.566834201,0,CIRCLE,DIAMOND,TRIANGLE,1,0,26,29,78,4,3,21,22,2
Stranger,Stranger,Top,Match,1,5,29,17,w,0.38348532,0,CIRCLE,DIAMOND,TRIANGLE,1,0,27,30,78,4,3,21,22,2
P2,P2,Bottom,Match,1,6,30,12,w,0.483488597,0,CIRCLE,DIAMOND,TRIANGLE,1,0,28,31,78,4,3,21,22,2
P2,P1,Bottom,Mismatch,1,7,31,14,o,0.650139143,0,CIRCLE,DIAMOND,TRIANGLE,1,0,29,32,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,1,8,32,20,w,0.60015152,0,CIRCLE,DIAMOND,TRIANGLE,1,0,30,33,78,4,3,21,22,2
Stranger,P1,Bottom,Mismatch,1,9,33,22,o,0.667074746,0,CIRCLE,DIAMOND,TRIANGLE,1,0,31,34,78,4,3,21,22,2
P1,P1,Bottom,Match,1,10,34,5,w,0.500161666,0,CIRCLE,DIAMOND,TRIANGLE,1,0,32,35,78,4,3,21,22,2
Stranger,P2,Bottom,Mismatch,1,11,35,23,o,0.800171101,0,CIRCLE,DIAMOND,TRIANGLE,1,0,33,36,78,4,3,21,22,2
P2,Stranger,Bottom,Mismatch,1,12,36,15,w,0.500141137,0,CIRCLE,DIAMOND,TRIANGLE,0,0,33,37,78,4,3,21,22,2
P1,Stranger,Top,Mismatch,1,13,37,2,o,0.850132274,0,CIRCLE,DIAMOND,TRIANGLE,1,0,34,38,78,4,3,21,22,2
P1,P1,Top,Match,1,14,38,0,w,0.850124773,0,CIRCLE,DIAMOND,TRIANGLE,1,0,35,39,78,4,3,21,22,2
Stranger,Stranger,Top,Match,1,15,39,16,w,0.75046654,0,CIRCLE,DIAMOND,TRIANGLE,1,0,36,40,78,4,3,21,22,2
P2,P2,Bottom,Match,1,16,40,13,w,0.600409711,0,CIRCLE,DIAMOND,TRIANGLE,1,0,37,41,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,1,17,41,21,w,0.633470417,0,CIRCLE,DIAMOND,TRIANGLE,1,0,38,42,78,4,3,21,22,2
P2,P1,Bottom,Mismatch,1,18,42,14,o,1.000146861,0,CIRCLE,DIAMOND,TRIANGLE,1,0,39,43,78,4,3,21,22,2
P2,P2,Bottom,Match,1,19,43,13,w,0.933485774,0,CIRCLE,DIAMOND,TRIANGLE,1,0,40,44,78,4,3,21,22,2
P1,Stranger,Top,Mismatch,1,20,44,2,o,0.683518048,0,CIRCLE,DIAMOND,TRIANGLE,1,0,41,45,78,4,3,21,22,2
P2,P1,Bottom,Mismatch,1,21,45,14,o,1.283446512,1,CIRCLE,DIAMOND,TRIANGLE,1,0,42,46,78,4,3,21,22,2
P1,Stranger,Bottom,Mismatch,1,22,46,6,o,0.65013559,0,CIRCLE,DIAMOND,TRIANGLE,1,0,43,47,78,4,3,21,22,2
P1,P1,Top,Match,1,23,47,1,w,0.700152822,0,CIRCLE,DIAMOND,TRIANGLE,1,0,44,48,78,4,3,21,22,2
Stranger,P1,Top,Mismatch,2,0,48,18,o,0.767065784,0,CIRCLE,DIAMOND,TRIANGLE,1,0,45,49,78,4,3,21,22,2
P2,P2,Bottom,Match,2,1,49,12,w,0.683441854,0,CIRCLE,DIAMOND,TRIANGLE,1,0,46,50,78,4,3,21,22,2
P1,Stranger,Top,Mismatch,2,2,50,2,w,0.733449217,0,CIRCLE,DIAMOND,TRIANGLE,0,0,46,51,78,4,3,21,22,2
P2,P2,Top,Match,2,3,51,8,w,0.933443137,0,CIRCLE,DIAMOND,TRIANGLE,1,0,47,52,78,4,3,21,22,2
Stranger,Stranger,Top,Match,2,4,52,16,w,0.916778359,0,CIRCLE,DIAMOND,TRIANGLE,1,0,48,53,78,4,3,21,22,2
P1,P1,Bottom,Match,2,5,53,4,w,0.466845532,0,CIRCLE,DIAMOND,TRIANGLE,1,0,49,54,78,4,3,21,22,2
P1,P2,Top,Mismatch,2,6,54,3,o,0.716798651,0,CIRCLE,DIAMOND,TRIANGLE,1,0,50,55,78,4,3,21,22,2
P2,Stranger,Bottom,Mismatch,2,7,55,15,w,0.550116522,0,CIRCLE,DIAMOND,TRIANGLE,0,0,50,56,78,4,3,21,22,2
P1,Stranger,Top,Mismatch,2,8,56,2,o,0.683465936,0,CIRCLE,DIAMOND,TRIANGLE,1,0,51,57,78,4,3,21,22,2
P2,P2,Top,Match,2,9,57,8,w,0.900121081,0,CIRCLE,DIAMOND,TRIANGLE,1,0,52,58,78,4,3,21,22,2
P2,Stranger,Top,Mismatch,2,10,58,11,w,0.683469884,0,CIRCLE,DIAMOND,TRIANGLE,0,0,52,59,78,4,3,21,22,2
P1,P1,Top,Match,2,11,59,0,w,0.783463686,0,CIRCLE,DIAMOND,TRIANGLE,1,0,53,60,78,4,3,21,22,2
Stranger,Stranger,Top,Match,2,12,60,17,w,0.700150059,0,CIRCLE,DIAMOND,TRIANGLE,1,0,54,61,78,4,3,21,22,2
P2,P2,Bottom,Match,2,13,61,13,w,0.883446039,0,CIRCLE,DIAMOND,TRIANGLE,1,0,55,62,78,4,3,21,22,2
Stranger,P1,Bottom,Mismatch,2,14,62,22,o,0.650133221,0,CIRCLE,DIAMOND,TRIANGLE,1,0,56,63,78,4,3,21,22,2
P1,Stranger,Bottom,Mismatch,2,15,63,6,o,0.750149131,0,CIRCLE,DIAMOND,TRIANGLE,1,0,57,64,78,4,3,21,22,2
P2,Stranger,Top,Mismatch,2,16,64,11,w,0.85016662,0,CIRCLE,DIAMOND,TRIANGLE,0,0,57,65,78,4,3,21,22,2
P1,Stranger,Top,Mismatch,2,17,65,2,o,1.050427022,0,CIRCLE,DIAMOND,TRIANGLE,1,0,58,66,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,2,18,66,21,w,0.916864422,0,CIRCLE,DIAMOND,TRIANGLE,1,0,59,67,78,4,3,21,22,2
P2,P2,Bottom,Match,2,19,67,13,w,0.800197947,0,CIRCLE,DIAMOND,TRIANGLE,1,0,60,68,78,4,3,21,22,2
P2,P2,Top,Match,2,20,68,8,w,0.700138215,0,CIRCLE,DIAMOND,TRIANGLE,1,0,61,69,78,4,3,21,22,2
P2,Stranger,Bottom,Mismatch,2,21,69,15,o,0.750200848,0,CIRCLE,DIAMOND,TRIANGLE,1,0,62,70,78,4,3,21,22,2
P1,P2,Bottom,Mismatch,2,22,70,7,w,0.633462916,0,CIRCLE,DIAMOND,TRIANGLE,0,0,62,71,78,4,3,21,22,2
P2,P1,Top,Mismatch,2,23,71,10,o,0.816750605,0,CIRCLE,DIAMOND,TRIANGLE,1,0,63,72,78,4,3,21,22,2
P1,P1,Top,Match,3,0,72,1,w,0.633481471,0,CIRCLE,DIAMOND,TRIANGLE,1,0,64,73,78,4,3,21,22,2
Stranger,P2,Bottom,Mismatch,3,1,73,23,o,0.900134109,0,CIRCLE,DIAMOND,TRIANGLE,1,0,65,74,78,4,3,21,22,2
P1,P1,Top,Match,3,2,74,1,w,0.700135846,0,CIRCLE,DIAMOND,TRIANGLE,1,0,66,75,78,4,3,21,22,2
P2,P2,Top,Match,3,3,75,9,w,0.733448822,0,CIRCLE,DIAMOND,TRIANGLE,1,0,67,76,78,4,3,21,22,2
P1,P1,Top,Match,3,4,76,1,w,1.016840064,0,CIRCLE,DIAMOND,TRIANGLE,1,0,68,77,78,4,3,21,22,2
Stranger,P1,Top,Mismatch,3,5,77,18,o,0.716885899,0,CIRCLE,DIAMOND,TRIANGLE,1,0,69,78,78,4,3,21,22,2
Stranger,Stranger,Top,Match,3,6,78,17,w,0.717446103,0,CIRCLE,DIAMOND,TRIANGLE,1,0,70,79,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,3,7,79,21,w,0.633543453,0,CIRCLE,DIAMOND,TRIANGLE,1,0,71,80,78,4,3,21,22,2
Stranger,P2,Top,Mismatch,3,8,80,19,o,0.750126628,0,CIRCLE,DIAMOND,TRIANGLE,1,0,72,81,78,4,3,21,22,2
P2,P2,Top,Match,3,9,81,9,w,1.06678663,0,CIRCLE,DIAMOND,TRIANGLE,1,0,73,82,78,4,3,21,22,2
P2,P1,Top,Mismatch,3,10,82,10,o,0.866870877,0,CIRCLE,DIAMOND,TRIANGLE,1,0,74,83,78,4,3,21,22,2
P1,P1,Bottom,Match,3,11,83,5,w,0.83348605,0,CIRCLE,DIAMOND,TRIANGLE,1,0,75,84,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,3,12,84,20,w,0.733543571,0,CIRCLE,DIAMOND,TRIANGLE,1,0,76,85,78,4,3,21,22,2
P1,Stranger,Bottom,Mismatch,3,13,85,6,o,0.700175325,0,CIRCLE,DIAMOND,TRIANGLE,1,0,77,86,78,4,3,21,22,2
P1,P2,Top,Mismatch,3,14,86,3,o,1.000116068,0,CIRCLE,DIAMOND,TRIANGLE,1,0,78,87,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,3,15,87,21,w,0.566838149,0,CIRCLE,DIAMOND,TRIANGLE,1,0,79,88,78,4,3,21,22,2
P1,P2,Top,Mismatch,3,16,88,3,o,1.383442288,1,CIRCLE,DIAMOND,TRIANGLE,1,0,80,89,78,4,3,21,22,2
P2,Stranger,Top,Mismatch,3,17,89,11,o,0.816799559,0,CIRCLE,DIAMOND,TRIANGLE,1,0,81,90,78,4,3,21,22,2
P2,P2,Top,Match,3,18,90,9,o,0.716799835,0,CIRCLE,DIAMOND,TRIANGLE,0,0,81,91,78,4,3,21,22,2
P1,P1,Bottom,Match,3,19,91,5,w,1.183438103,0,CIRCLE,DIAMOND,TRIANGLE,1,0,82,92,78,4,3,21,22,2
Stranger,P1,Top,Mismatch,3,20,92,18,o,0.71680102,0,CIRCLE,DIAMOND,TRIANGLE,1,0,83,93,78,4,3,21,22,2
P2,P1,Top,Mismatch,3,21,93,10,o,0.816819693,0,CIRCLE,DIAMOND,TRIANGLE,1,0,84,94,78,4,3,21,22,2
Stranger,P2,Top,Mismatch,3,22,94,19,o,0.766797723,0,CIRCLE,DIAMOND,TRIANGLE,1,0,85,95,78,4,3,21,22,2
P1,Stranger,Bottom,Mismatch,3,23,95,6,o,0.75014242,0,CIRCLE,DIAMOND,TRIANGLE,1,0,86,96,78,4,3,21,22,2
P2,Stranger,Top,Mismatch,4,0,96,11,w,0.616823404,0,CIRCLE,DIAMOND,TRIANGLE,0,0,86,97,78,4,3,21,22,2
P1,P2,Bottom,Mismatch,4,1,97,7,o,0.88346183,0,CIRCLE,DIAMOND,TRIANGLE,1,0,87,98,78,4,3,21,22,2
P2,P2,Top,Match,4,2,98,8,w,0.700148085,0,CIRCLE,DIAMOND,TRIANGLE,1,0,88,99,78,4,3,21,22,2
Stranger,P1,Bottom,Mismatch,4,3,99,22,o,0.717255025,0,CIRCLE,DIAMOND,TRIANGLE,1,0,89,100,78,4,3,21,22,2
Stranger,Stranger,Top,Match,4,4,100,16,w,0.633466074,0,CIRCLE,DIAMOND,TRIANGLE,1,0,90,101,78,4,3,21,22,2
Stranger,P2,Bottom,Mismatch,4,5,101,23,o,0.783493295,0,CIRCLE,DIAMOND,TRIANGLE,1,0,91,102,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,4,6,102,20,w,0.833456441,0,CIRCLE,DIAMOND,TRIANGLE,1,0,92,103,78,4,3,21,22,2
P2,P1,Bottom,Mismatch,4,7,103,14,o,0.90013332,0,CIRCLE,DIAMOND,TRIANGLE,1,0,93,104,78,4,3,21,22,2
P1,P2,Bottom,Mismatch,4,8,104,7,o,1.017067067,0,CIRCLE,DIAMOND,TRIANGLE,1,0,94,105,78,4,3,21,22,2
P1,P1,Top,Match,4,9,105,0,w,0.666826029,0,CIRCLE,DIAMOND,TRIANGLE,1,0,95,106,78,4,3,21,22,2
Stranger,P2,Top,Mismatch,4,10,106,19,o,0.666822476,0,CIRCLE,DIAMOND,TRIANGLE,1,0,96,107,78,4,3,21,22,2
P1,P2,Top,Mismatch,4,11,107,3,o,0.883462225,0,CIRCLE,DIAMOND,TRIANGLE,1,0,97,108,78,4,3,21,22,2
P1,P1,Bottom,Match,4,12,108,5,w,0.683523575,0,CIRCLE,DIAMOND,TRIANGLE,1,0,98,109,78,4,3,21,22,2
Stranger,Stranger,Bottom,Match,4,13,109,21,w,0.583473318,0,CIRCLE,DIAMOND,TRIANGLE,1,0,99,110,78,4,3,21,22,2
P2,P2,Bottom,Match,4,14,110,13,o,0.733763073,0,CIRCLE,DIAMOND,TRIANGLE,0,0,99,111,78,4,3,21,22,2
P2,P2,Bottom,Match,4,15,111,12,w,0.633494499,0,CIRCLE,DIAMOND,TRIANGLE,1,0,100,112,78,4,3,21,22,2
Stranger,Stranger,Top,Match,4,16,112,17,w,0.633476339,0,CIRCLE,DIAMOND,TRIANGLE,1,0,101,113,78,4,3,21,22,2
P1,P2,Bottom,Mismatch,4,17,113,7,o,0.750151105,0,CIRCLE,DIAMOND,TRIANGLE,1,0,102,114,78,4,3,21,22,2
Stranger,P2,Bottom,Mismatch,4,18,114,23,None,None,1,CIRCLE,DIAMOND,TRIANGLE,3,0,102,115,78,4,3,21,22,2
P2,P1,Bottom,Mismatch,4,19,115,14,w,0.550203375,0,CIRCLE,DIAMOND,TRIANGLE,0,0,102,116,78,4,3,21,22,2
Stranger,P1,Bottom,Mismatch,4,20,116,22,o,0.800154125,0,CIRCLE,DIAMOND,TRIANGLE,1,0,103,117,78,4,3,21,22,2
Stranger,P1,Bottom,Mismatch,4,21,117,22,o,0.850189123,0,CIRCLE,DIAMOND,TRIANGLE,1,0,104,118,78,4,3,21,22,2
P1,Stranger,Bottom,Mismatch,4,22,118,6,o,0.766821805,0,CIRCLE,DIAMOND,TRIANGLE,1,0,105,119,78,4,3,21,22,2
P2,Stranger,Top,Mismatch,4,23,119,11,o,0.800113462,0,CIRCLE,DIAMOND,TRIANGLE,1,0,106,120,78,4,3,21,22,2
Stranger,P2,Bottom,Mismatch,0,0,0,23,o,0.800148203,0,CIRCLE,DIAMOND,STAR,0,0,0,1,78,1,4,23,24,1
P1,P1,Top,Match,0,1,1,0,o,0.533507014,0,CIRCLE,DIAMOND,STAR,1,0,1,2,78,1,4,23,24,1
P2,P2,Top,Match,0,2,2,8,w,0.466834873,0,CIRCLE,DIAMOND,STAR,0,0,1,3,78,1,4,23,24,1
P1,P2,Bottom,Mismatch,0,3,3,7,o,0.566802618,0,CIRCLE,DIAMOND,STAR,0,0,1,4,78,1,4,23,24,1
P2,P1,Bottom,Mismatch,0,4,4,14,o,0.650430101,0,CIRCLE,DIAMOND,STAR,0,0,1,5,78,1,4,23,24,1
P2,Stranger,Top,Mismatch,0,5,5,11,None,None,1,CIRCLE,DIAMOND,STAR,3,0,1,6,78,1,4,23,24,1
P2,P2,Bottom,Match,0,6,6,12,w,0.783506323,0,CIRCLE,DIAMOND,STAR,0,0,1,7,78,1,4,23,24,1
Stranger,Stranger,Top,Match,0,7,7,16,o,0.650168357,0,CIRCLE,DIAMOND,STAR,1,0,2,8,78,1,4,23,24,1
P1,P2,Bottom,Mismatch,0,8,8,7,None,None,1,CIRCLE,DIAMOND,STAR,3,0,2,9,78,1,4,23,24,1
Stranger,Stranger,Bottom,Match,0,9,9,20,w,0.750131366,0,CIRCLE,DIAMOND,STAR,0,0,2,10,78,1,4,23,24,1
P2,P1,Top,Mismatch,0,10,10,10,o,0.983417732,0,CIRCLE,DIAMOND,STAR,0,0,2,11,78,1,4,23,24,1
P1,P1,Top,Match,0,11,11,0,o,0.616800901,0,CIRCLE,DIAMOND,STAR,1,0,3,12,78,1,4,23,24,1
P2,Stranger,Bottom,Mismatch,0,12,12,15,None,None,1,CIRCLE,DIAMOND,STAR,3,0,3,13,78,1,4,23,24,1
Stranger,Stranger,Top,Match,0,13,13,17,o,0.666880905,0,CIRCLE,DIAMOND,STAR,1,0,4,14,78,1,4,23,24,1
Stranger,P1,Top,Mismatch,0,14,14,18,w,1.016802954,0,CIRCLE,DIAMOND,STAR,1,0,5,15,78,1,4,23,24,1
P2,P1,Top,Mismatch,0,15,15,10,None,None,1,CIRCLE,DIAMOND,STAR,3,0,5,16,78,1,4,23,24,1
Stranger,Stranger,Top,Match,0,16,16,16,o,0.966841387,0,CIRCLE,DIAMOND,STAR,1,0,6,17,78,1,4,23,24,1
Stranger,P2,Bottom,Mismatch,0,17,17,23,None,None,1,CIRCLE,DIAMOND,STAR,3,0,6,18,78,1,4,23,24,1
P2,Stranger,Top,Mismatch,0,18,18,11,None,None,1,CIRCLE,DIAMOND,STAR,3,0,6,19,78,1,4,23,24,1
P2,P2,Bottom,Match,0,19,19,13,w,0.63351029,0,CIRCLE,DIAMOND,STAR,0,0,6,20,78,1,4,23,24,1
P1,Stranger,Bottom,Mismatch,0,20,20,6,None,None,1,CIRCLE,DIAMOND,STAR,3,0,6,21,78,1,4,23,24,1
P1,P1,Top,Match,0,21,21,0,None,None,1,CIRCLE,DIAMOND,STAR,3,0,6,22,78,1,4,23,24,1
Stranger,Stranger,Bottom,Match,0,22,22,20,o,0.733504092,0,CIRCLE,DIAMOND,STAR,1,0,7,23,78,1,4,23,24,1
Stranger,P1,Top,Mismatch,0,23,23,18,w,0.633516607,0,CIRCLE,DIAMOND,STAR,1,0,8,24,78,1,4,23,24,1
Stranger,Stranger,Bottom,Match,1,0,24,21,o,0.850116482,0,CIRCLE,DIAMOND,STAR,1,0,9,25,78,1,4,23,24,1
P2,P2,Bottom,Match,1,1,25,12,None,None,1,CIRCLE,DIAMOND,STAR,3,0,9,26,78,1,4,23,24,1
Stranger,Stranger,Top,Match,1,2,26,16,None,None,1,CIRCLE,DIAMOND,STAR,3,0,9,27,78,1,4,23,24,1
P1,Stranger,Bottom,Mismatch,1,3,27,6,None,None,1,CIRCLE,DIAMOND,STAR,3,0,9,28,78,1,4,23,24,1
P2,P2,Top,Match,1,4,28,9,o,1.483423852,1,CIRCLE,DIAMOND,STAR,1,0,10,29,78,1,4,23,24,1
Stranger,P1,Bottom,Mismatch,1,5,29,22,None,None,1,CIRCLE,DIAMOND,STAR,3,0,10,30,78,1,4,23,24,1
Stranger,P2,Bottom,Mismatch,1,6,30,23,None,None,1,CIRCLE,DIAMOND,STAR,3,0,10,31,78,1,4,23,24,1
Stranger,P1,Top,Mismatch,1,7,31,18,w,1.116784517,0,CIRCLE,DIAMOND,STAR,1,0,11,32,78,1,4,23,24,1
P2,P2,Bottom,Match,1,8,32,12,o,0.783472766,0,CIRCLE,DIAMOND,STAR,1,0,12,33,78,1,4,23,24,1
P1,P1,Top,Match,1,9,33,1,w,1.016758343,0,CIRCLE,DIAMOND,STAR,0,0,12,34,78,1,4,23,24,1
Stranger,P2,Top,Mismatch,1,10,34,19,w,1.383456501,0,CIRCLE,DIAMOND,STAR,1,0,13,35,78,1,4,23,24,1
