ExperimentName,Subject,Age,Handedness,Sex,Block,Bed,corr[Block],form[Block],Procedure[Block],Match,corr[Trial],form[Trial],Label[Trial],MT4.ACC,MT4.RT,Procedure,ACC,RT,target,Identity,Slide2.ACC,Slide2.RT,PrimeAss
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,0,359,triangle.png,Ich,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,426,circle.png,Bekannter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,401,square.png,Mutter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,425,square.png,Mutter,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,304,triangle.png,Ich,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,356,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,222,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,238,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,0,678,circle.png,Bekannter,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,401,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,273,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,471,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,468,square.png,Mutter,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,400,triangle.png,Ich,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,376,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,305,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,293,circle.png,Bekannter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,219,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,299,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,439,triangle.png,Ich,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,237,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,301,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,425,square.png,Mutter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,408,circle.png,Bekannter,,,Ich
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,triangle.png,Bekannter,0,515,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bn,s,square.png,Bekannter,0,423,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,circle.png,Mutter,0,424,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,1,426,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mm,l,square.png,Mutter,0,0,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,square.png,Ich,1,491,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,bm,l,circle.png,Bekannter,0,537,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,mn,s,triangle.png,Mutter,1,613,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,im,l,triangle.png,Ich,1,365,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,28,,,,MT,in,s,circle.png,Ich,0,449,MTproc,,,,,,,
