Subject,Age,Handedness,condition1correct,condition1level,Sex,respond3.ACC,respond3.RT
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,727
8,17,right,Self-shape_Mismatched,Alter cue,female,0,868
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,920
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,644
8,17,right,Self-shape_Matched,No cue,female,1,520
8,17,right,Familiar-shape_Matched,No cue,female,0,606
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,913
8,17,right,Self-shape_Matched,Alter cue,female,1,577
8,17,right,Self-shape_Matched,No cue,female,1,510
8,17,right,Self-shape_Matched,No cue,female,1,738
8,17,right,Self-shape_Mismatched,Alter cue,female,1,560
8,17,right,Self-shape_Mismatched,Alter cue,female,0,942
8,17,right,Self-shape_Matched,Alter cue,female,1,280
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,799
8,17,right,Self-shape_Matched,Alter cue,female,1,401
8,17,right,Self-shape_Mismatched,No cue,female,1,667
8,17,right,Self-shape_Mismatched,No cue,female,1,923
8,17,right,Self-shape_Matched,Alter cue,female,1,609
8,17,right,Familiar-shape_Mismatched,No cue,female,1,535
8,17,right,Familiar-shape_Matched,Alter cue,female,1,967
8,17,right,Familiar-shape_Matched,No cue,female,1,516
8,17,right,Self-shape_Mismatched,No cue,female,1,563
8,17,right,Self-shape_Mismatched,Alter cue,female,0,581
8,17,right,Familiar-shape_Mismatched,No cue,female,1,949
8,17,right,Familiar-shape_Matched,Alter cue,female,1,567
8,17,right,Self-shape_Mismatched,Alter cue,female,1,854
8,17,right,Self-shape_Matched,No cue,female,1,482
8,17,right,Self-shape_Mismatched,No cue,female,0,310
8,17,right,Familiar-shape_Mismatched,No cue,female,1,693
8,17,right,Familiar-shape_Matched,No cue,female,1,761
8,17,right,Familiar-shape_Mismatched,No cue,female,1,622
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,808
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,403
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,553
8,17,right,Familiar-shape_Matched,No cue,female,1,571
8,17,right,Self-shape_Matched,No cue,female,1,606
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,522
8,17,right,Self-shape_Mismatched,No cue,female,0,541
8,17,right,Self-shape_Mismatched,Alter cue,female,1,669
8,17,right,Familiar-shape_Mismatched,Alter cue,female,0,657
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,803
8,17,right,Familiar-shape_Mismatched,No cue,female,1,572
8,17,right,Familiar-shape_Matched,No cue,female,1,558
8,17,right,Self-shape_Mismatched,Alter cue,female,1,753
8,17,right,Self-shape_Matched,No cue,female,1,492
8,17,right,Familiar-shape_Mismatched,No cue,female,1,641
8,17,right,Familiar-shape_Matched,Alter cue,female,0,585
8,17,right,Familiar-shape_Matched,No cue,female,1,437
8,17,right,Familiar-shape_Matched,No cue,female,1,360
8,17,right,Self-shape_Matched,No cue,female,1,906
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,674
8,17,right,Self-shape_Matched,No cue,female,1,605
8,17,right,Self-shape_Mismatched,Alter cue,female,1,756
8,17,right,Self-shape_Mismatched,No cue,female,1,872
8,17,right,Self-shape_Mismatched,Alter cue,female,1,514
8,17,right,Familiar-shape_Matched,Alter cue,female,1,979
8,17,right,Familiar-shape_Matched,No cue,female,1,480
8,17,right,Self-shape_Mismatched,No cue,female,1,678
8,17,right,Self-shape_Mismatched,No cue,female,1,818
8,17,right,Familiar-shape_Mismatched,No cue,female,1,586
8,17,right,Self-shape_Mismatched,Alter cue,female,0,667
8,17,right,Familiar-shape_Matched,No cue,female,1,617
8,17,right,Familiar-shape_Matched,Alter cue,female,1,764
8,17,right,Self-shape_Matched,Alter cue,female,1,644
8,17,right,Familiar-shape_Mismatched,No cue,female,1,781
8,17,right,Familiar-shape_Matched,No cue,female,1,787
8,17,right,Familiar-shape_Matched,Alter cue,female,1,423
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,760
8,17,right,Self-shape_Mismatched,Alter cue,female,1,835
8,17,right,Self-shape_Matched,No cue,female,1,764
8,17,right,Familiar-shape_Mismatched,No cue,female,1,490
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,926
8,17,right,Self-shape_Matched,Alter cue,female,1,470
8,17,right,Self-shape_Matched,No cue,female,1,541
8,17,right,Self-shape_Mismatched,Alter cue,female,1,637
8,17,right,Familiar-shape_Matched,Alter cue,female,0,914
8,17,right,Self-shape_Matched,No cue,female,1,461
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,611
8,17,right,Familiar-shape_Matched,Alter cue,female,1,683
8,17,right,Self-shape_Mismatched,Alter cue,female,1,868
8,17,right,Self-shape_Mismatched,No cue,female,1,599
8,17,right,Familiar-shape_Matched,No cue,female,0,829
8,17,right,Familiar-shape_Matched,Alter cue,female,1,756
8,17,right,Self-shape_Matched,Alter cue,female,1,504
8,17,right,Familiar-shape_Matched,No cue,female,1,576
8,17,right,Self-shape_Mismatched,Alter cue,female,1,642
8,17,right,Familiar-shape_Mismatched,No cue,female,1,731
8,17,right,Familiar-shape_Matched,Alter cue,female,1,808
8,17,right,Familiar-shape_Mismatched,No cue,female,0,711
11,19,right,Self-shape_Mismatched,No cue,female,1,656
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,676
11,19,right,Self-shape_Matched,Alter cue,female,1,462
11,19,right,Self-shape_Matched,No cue,female,1,456
11,19,right,Familiar-shape_Mismatched,No cue,female,0,495
11,19,right,Self-shape_Matched,Alter cue,female,1,489
11,19,right,Self-shape_Mismatched,Alter cue,female,1,919
11,19,right,Self-shape_Matched,No cue,female,1,492
11,19,right,Self-shape_Matched,Alter cue,female,1,507
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,747
11,19,right,Self-shape_Matched,No cue,female,1,487
11,19,right,Familiar-shape_Matched,No cue,female,1,532
11,19,right,Self-shape_Matched,Alter cue,female,1,425
11,19,right,Familiar-shape_Matched,No cue,female,1,582
11,19,right,Familiar-shape_Mismatched,No cue,female,1,609
11,19,right,Familiar-shape_Mismatched,No cue,female,1,705
11,19,right,Self-shape_Matched,No cue,female,1,612
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,509
11,19,right,Self-shape_Matched,No cue,female,1,623
11,19,right,Self-shape_Matched,Alter cue,female,1,583
11,19,right,Self-shape_Mismatched,Alter cue,female,1,460
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,474
11,19,right,Self-shape_Mismatched,No cue,female,0,580
11,19,right,Familiar-shape_Matched,No cue,female,0,748
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,617
11,19,right,Self-shape_Mismatched,Alter cue,female,1,856
11,19,right,Self-shape_Mismatched,No cue,female,1,884
11,19,right,Familiar-shape_Matched,Alter cue,female,1,670
11,19,right,Self-shape_Matched,No cue,female,1,548
11,19,right,Self-shape_Matched,Alter cue,female,1,511
11,19,right,Familiar-shape_Matched,Alter cue,female,1,639
11,19,right,Familiar-shape_Mismatched,No cue,female,1,587
11,19,right,Familiar-shape_Mismatched,No cue,female,1,711
11,19,right,Self-shape_Mismatched,Alter cue,female,1,745
11,19,right,Familiar-shape_Mismatched,No cue,female,1,618
11,19,right,Self-shape_Mismatched,No cue,female,1,664
11,19,right,Familiar-shape_Mismatched,No cue,female,1,703
11,19,right,Self-shape_Mismatched,No cue,female,1,609
11,19,right,Self-shape_Matched,Alter cue,female,1,462
11,19,right,Familiar-shape_Matched,No cue,female,1,553
11,19,right,Self-shape_Mismatched,No cue,female,1,519
11,19,right,Self-shape_Mismatched,No cue,female,1,847
11,19,right,Self-shape_Matched,No cue,female,1,382
11,19,right,Self-shape_Matched,No cue,female,1,642
11,19,right,Self-shape_Mismatched,Alter cue,female,1,504
11,19,right,Self-shape_Matched,Alter cue,female,1,449
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,877
11,19,right,Familiar-shape_Matched,Alter cue,female,1,744
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,679
11,19,right,Self-shape_Matched,Alter cue,female,1,485
11,19,right,Self-shape_Mismatched,No cue,female,1,662
11,19,right,Self-shape_Mismatched,No cue,female,1,954
11,19,right,Familiar-shape_Matched,No cue,female,1,596
11,19,right,Familiar-shape_Matched,No cue,female,0,630
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,645
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,764
11,19,right,Familiar-shape_Matched,No cue,female,1,697
11,19,right,Familiar-shape_Matched,Alter cue,female,0,522
11,19,right,Self-shape_Mismatched,Alter cue,female,1,555
11,19,right,Familiar-shape_Matched,No cue,female,1,758
11,19,right,Self-shape_Matched,Alter cue,female,1,520
11,19,right,Self-shape_Mismatched,Alter cue,female,1,548
11,19,right,Familiar-shape_Mismatched,No cue,female,1,639
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,798
11,19,right,Familiar-shape_Matched,Alter cue,female,1,594
11,19,right,Familiar-shape_Mismatched,No cue,female,1,477
11,19,right,Familiar-shape_Matched,No cue,female,1,549
11,19,right,Self-shape_Mismatched,No cue,female,1,607
11,19,right,Self-shape_Matched,No cue,female,1,468
11,19,right,Familiar-shape_Mismatched,No cue,female,1,599
11,19,right,Familiar-shape_Mismatched,No cue,female,1,554
11,19,right,Self-shape_Mismatched,Alter cue,female,1,753
11,19,right,Familiar-shape_Mismatched,No cue,female,1,603
11,19,right,Self-shape_Matched,No cue,female,1,522
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,657
11,19,right,Familiar-shape_Mismatched,No cue,female,1,760
11,19,right,Familiar-shape_Matched,Alter cue,female,1,533
11,19,right,Self-shape_Mismatched,No cue,female,1,668
11,19,right,Familiar-shape_Mismatched,No cue,female,1,504
11,19,right,Self-shape_Mismatched,Alter cue,female,1,576
11,19,right,Self-shape_Mismatched,No cue,female,1,868
11,19,right,Self-shape_Matched,No cue,female,1,535
11,19,right,Familiar-shape_Matched,No cue,female,0,467
11,19,right,Familiar-shape_Matched,Alter cue,female,1,684
11,19,right,Self-shape_Matched,No cue,female,1,563
11,19,right,Self-shape_Mismatched,Alter cue,female,1,583
11,19,right,Self-shape_Matched,Alter cue,female,1,488
11,19,right,Familiar-shape_Matched,Alter cue,female,1,594
11,19,right,Self-shape_Matched,No cue,female,1,572
11,19,right,Familiar-shape_Matched,Alter cue,female,1,627
11,19,right,Familiar-shape_Matched,Alter cue,female,1,576
11,19,right,Self-shape_Mismatched,No cue,female,1,565
11,19,right,Familiar-shape_Matched,Alter cue,female,1,593
11,19,right,Familiar-shape_Matched,No cue,female,1,627
11,19,right,Familiar-shape_Mismatched,No cue,female,1,667
11,19,right,Familiar-shape_Matched,No cue,female,1,613
11,19,right,Self-shape_Matched,Alter cue,female,1,476
11,19,right,Self-shape_Matched,Alter cue,female,1,506
11,19,right,Self-shape_Mismatched,Alter cue,female,1,586
11,19,right,Self-shape_Matched,Alter cue,female,1,507
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,720
11,19,right,Familiar-shape_Matched,No cue,female,1,473
11,19,right,Self-shape_Mismatched,No cue,female,1,562
11,19,right,Familiar-shape_Mismatched,No cue,female,1,608
11,19,right,Self-shape_Matched,No cue,female,1,480
11,19,right,Self-shape_Mismatched,No cue,female,1,609
11,19,right,Familiar-shape_Mismatched,Alter cue,female,1,583
