Participant #,Trial Type,Target Label,Shape Association,Target Accuracy,Reponse Time
5,Matching,YOU,Self,1,918
5,Nonmatching,YOU,Friend,1,744
5,Nonmatching,YOU,Friend,0,496
5,Nonmatching,FRIEND,Self,0,445
5,Nonmatching,FRIEND,Self,0,646
5,Nonmatching,FRIEND,Self,1,634
5,Nonmatching,YOU,Friend,0,720
5,Matching,FRIEND,Friend,0,478
5,Matching,YOU,Self,1,612
5,Matching,YOU,Self,1,531
5,Matching,FRIEND,Friend,1,795
5,Nonmatching,FRIEND,Self,1,658
5,Matching,YOU,Self,1,792
5,Matching,YOU,Self,1,482
5,Matching,FRIEND,Friend,0,935
5,Matching,FRIEND,Friend,1,978
5,Matching,FRIEND,Friend,1,570
5,Nonmatching,YOU,Friend,0,866
5,Matching,YOU,Self,1,932
5,Nonmatching,FRIEND,Self,1,886
5,Matching,YOU,Self,0,903
5,Nonmatching,FRIEND,Self,1,1155
5,Matching,FRIEND,Friend,1,1011
5,Nonmatching,YOU,Friend,1,851
5,Nonmatching,FRIEND,Self,0,646
5,Matching,YOU,Self,1,887
5,Nonmatching,YOU,Friend,0,1192
5,Nonmatching,FRIEND,Self,1,651
5,Matching,FRIEND,Friend,0,693
5,Nonmatching,YOU,Friend,1,807
5,Matching,YOU,Self,1,907
5,Nonmatching,YOU,Friend,1,640
5,Nonmatching,FRIEND,Self,0,882
5,Nonmatching,FRIEND,Self,1,894
5,Nonmatching,YOU,Friend,0,572
5,Nonmatching,FRIEND,Self,1,644
5,Nonmatching,FRIEND,Self,1,845
5,Matching,YOU,Self,0,904
5,Nonmatching,FRIEND,Self,0,1157
5,Matching,YOU,Self,0,1064
5,Nonmatching,YOU,Friend,0,620
5,Nonmatching,YOU,Friend,0,470
5,Nonmatching,YOU,Friend,1,802
5,Matching,YOU,Self,1,823
5,Matching,YOU,Self,1,565
5,Matching,FRIEND,Friend,0,682
5,Nonmatching,FRIEND,Self,1,916
5,Matching,FRIEND,Friend,1,601
5,Matching,YOU,Self,1,1175
5,Nonmatching,FRIEND,Self,0,940
5,Matching,YOU,Self,1,809
5,Matching,YOU,Self,1,456
5,Nonmatching,FRIEND,Self,1,1035
5,Matching,FRIEND,Friend,1,1039
5,Matching,YOU,Self,1,729
5,Nonmatching,FRIEND,Self,1,661
5,Nonmatching,YOU,Friend,1,957
5,Nonmatching,YOU,Friend,0,619
5,Matching,YOU,Self,1,696
5,Nonmatching,FRIEND,Self,1,683
5,Nonmatching,YOU,Friend,0,1139
5,Matching,YOU,Self,0,702
5,Matching,FRIEND,Friend,1,759
5,Matching,FRIEND,Friend,0,911
5,Matching,FRIEND,Friend,1,665
5,Matching,FRIEND,Friend,1,664
5,Nonmatching,FRIEND,Self,1,841
5,Nonmatching,FRIEND,Self,1,764
5,Nonmatching,FRIEND,Self,1,702
5,Matching,FRIEND,Friend,1,502
5,Matching,FRIEND,Friend,1,504
5,Matching,FRIEND,Friend,1,490
5,Nonmatching,YOU,Friend,1,851
5,Nonmatching,YOU,Friend,1,898
5,Matching,FRIEND,Friend,0,627
5,Nonmatching,FRIEND,Self,1,1074
5,Matching,YOU,Self,1,804
5,Matching,FRIEND,Friend,1,626
5,Matching,FRIEND,Friend,0,655
5,Nonmatching,YOU,Friend,0,229
5,Matching,YOU,Self,0,598
5,Matching,FRIEND,Friend,0,540
5,Matching,FRIEND,Friend,0,543
5,Nonmatching,YOU,Friend,1,784
5,Nonmatching,YOU,Friend,1,649
5,Matching,YOU,Self,1,495
5,Matching,FRIEND,Friend,0,621
5,Nonmatching,FRIEND,Self,1,988
5,Nonmatching,YOU,Friend,0,536
5,Matching,FRIEND,Friend,0,744
5,Matching,YOU,Self,1,474
5,Matching,YOU,Self,1,567
5,Nonmatching,YOU,Friend,1,633
5,Nonmatching,YOU,Friend,1,627
5,Matching,FRIEND,Friend,1,1018
5,Nonmatching,FRIEND,Self,1,723
5,Matching,FRIEND,Friend,1,826
5,Matching,FRIEND,Friend,1,490
5,Nonmatching,FRIEND,Self,1,523
5,Nonmatching,YOU,Friend,1,848
5,Matching,YOU,Self,1,377
5,Matching,YOU,Self,1,423
5,Nonmatching,FRIEND,Self,1,777
