#TIME RESPONSE CND
0.6817 1 232
0.8927 1 232
0.6476 1 232
0.7031 1 232
0.7965 1 232
0.8187 1 232
0.5495 1 113
0.8366 1 113
0.6033 1 113
0.8552 1 113
0.8929 1 113
0.7245 0 113
0.6709 1 113
0.798 1 113
0.5224 1 113
0.6107 1 113
0.706 1 113
0.9267 1 113
0.728 0 113
0.7342 1 113
0.5494 0 113
0.6664 1 113
0.5917 1 113
0.5283 1 113
0.7251 1 113
0.5732 1 113
0.8162 1 113
0.5908 1 113
0.8018 1 113
0.7544 1 113
0.733 1 113
0.7019 0 113
0.7049 1 113
0.673 1 113
0.5936 1 113
0.6397 0 113
0.5689 1 113
0.8587 1 113
0.798 1 113
0.4854 0 113
0.673 1 113
0.6399 1 113
0.5754 1 113
0.6135 1 113
1.0236 0 113
0.6495 1 113
0.7113 1 113
0.6756 0 113
0.9547 1 113
0.6643 1 113
0.537 1 113
0.5925 0 113
0.8093 1 113
0.7276 1 113
0.6389 1 113
1.0129 1 113
0.7232 1 113
0.6569 1 113
0.5993 0 113
0.5034 1 113
0.8377 1 113
0.5653 1 123
0.7782 1 123
0.6376 1 123
0.6368 1 123
0.6562 1 123
0.6765 1 123
0.9131 1 123
0.7875 0 123
0.5802 1 123
0.5414 1 123
0.7154 1 123
0.859 1 123
0.6913 1 123
0.6436 1 123
0.3858 0 123
0.6789 1 123
0.7193 1 123
0.7723 1 123
0.5295 1 123
0.5915 1 123
0.6285 1 123
0.5089 1 123
0.7898 1 123
0.5934 1 123
0.774 1 123
0.6452 0 123
0.6389 1 123
0.6302 1 123
0.8542 0 123
0.8709 1 123
0.7458 1 123
0.6854 1 123
0.519 1 123
0.5514 1 123
0.6264 1 123
0.5578 0 123
0.7523 1 123
0.5263 1 123
0.8228 1 123
0.6233 1 123
1.0231 1 123
0.6686 0 123
0.64 1 123
0.7936 1 123
0.688 1 123
0.6527 1 123
0.7909 1 123
0.7102 1 123
0.9121 1 123
0.7319 1 123
0.7095 1 123
0.6768 1 123
0.7053 0 123
0.6246 1 123
0.619 1 123
0.6394 1 123
0.7571 0 123
0.5386 1 123
0.7728 0 133
0.8334 1 133
0.6369 1 133
0.6228 1 133
0.6084 1 133
0.934 1 133
0.8212 1 133
0.84 1 133
0.5859 1 133
0.62 1 133
0.5731 1 133
0.6128 1 133
0.9032 1 133
1.0367 0 133
0.8333 0 133
0.7416 0 133
0.5604 1 133
0.715 1 133
0.758 1 133
0.6595 0 133
1.0278 1 133
0.7421 1 133
0.8392 1 133
0.7448 1 133
0.6612 1 133
0.5544 1 133
0.8091 1 133
0.8351 1 133
0.5859 1 133
0.6006 0 133
0.689 1 133
0.7892 1 133
0.5682 1 133
0.6077 1 133
0.8308 0 133
0.8545 0 133
0.7924 0 133
0.7954 1 133
1.0129 1 133
0.8055 1 133
0.3738 0 133
0.6773 0 133
0.6644 1 133
0.7376 1 133
0.6727 1 133
0.6968 0 133
0.6259 1 133
0.9297 0 133
0.8499 1 133
0.8103 1 133
0.8883 0 133
0.5936 1 133
0.6628 1 133
0.572 1 133
0.7792 0 133
1.0251 1 133
0.7167 1 213
0.6461 1 213
0.5702 1 213
0.6345 1 213
0.6063 1 213
0.7499 1 213
0.6845 1 213
0.6021 1 213
0.559 1 213
0.9814 1 213
0.7415 1 213
0.7965 0 213
0.6238 1 213
0.7762 1 213
0.6653 1 213
0.6826 0 213
0.5973 0 213
0.7865 1 213
0.5839 1 213
0.6028 1 213
0.4959 1 213
0.7819 1 213
0.6354 1 213
0.6765 1 213
0.6641 1 213
0.8103 1 213
0.9547 1 213
0.6693 1 213
0.5991 1 213
0.6142 0 213
0.7066 0 213
0.5397 1 213
0.7894 1 213
0.9564 1 213
0.7724 0 213
0.745 1 213
0.6438 1 213
0.7419 0 213
0.6257 1 213
0.7167 1 213
0.6665 1 213
0.7579 1 213
0.4195 1 213
0.5075 1 213
0.9225 1 213
0.788 1 213
0.8732 1 213
0.7651 1 213
0.6935 1 213
0.918 1 213
0.9893 1 213
0.7798 1 213
0.9701 1 213
0.7303 1 213
0.5748 1 213
0.7893 1 223
0.7801 1 223
0.9612 1 223
0.7709 0 223
0.5738 1 223
0.7278 1 223
0.9194 1 223
0.9591 1 223
0.8264 0 223
0.6416 1 223
1.0061 0 223
0.9665 0 223
0.6667 0 223
0.676 1 223
0.4945 1 223
0.7137 1 223
0.8977 1 223
0.7035 1 223
0.6995 0 223
0.6348 1 223
0.8343 1 223
0.857 1 223
0.7908 1 223
0.6537 1 223
0.4526 1 223
0.7157 1 223
0.8278 0 223
0.7562 1 223
0.5429 0 223
0.7167 1 223
0.9065 1 223
0.7655 1 223
0.6422 1 223
0.7807 1 223
0.8916 1 223
0.7993 1 223
0.4351 0 223
0.7289 1 223
0.5595 0 223
0.7456 1 223
0.631 1 223
0.7036 1 223
0.7196 1 223
0.6586 1 223
0.6155 0 223
0.7322 1 223
0.641 1 223
0.4404 1 223
0.6626 0 223
0.8237 0 223
0.6388 0 223
0.8614 1 223
0.5566 1 223
0.4951 1 223
0.9892 1 223
0.7692 1 223
0.8454 1 233
0.619 1 233
0.5447 1 233
0.7273 1 233
0.8593 1 233
0.6772 1 233
0.7859 1 233
0.4731 1 233
0.7717 1 233
0.6514 1 233
0.5723 1 233
0.5809 0 233
0.6495 1 233
1.0196 1 233
0.7529 1 233
0.7062 1 233
