Indice,Method,r,Target,Paper_ID
ACC,Permuted,0.59006,Stranger,Pn4E1
Dprime,First-Second,0.11714,Stranger,Pn4E1
Dprime,Odd-Even,0.28893,Stranger,Pn4E1
Dprime,Permuted,0.53606,Stranger,Pn4E1
Efficiency,First-Second,0.16127,Stranger,Pn4E1
Efficiency,Odd-Even,0.06853,Stranger,Pn4E1
Efficiency,Permuted,0.16922,Stranger,Pn4E1
ezDDM: v,First-Second,0.00366,Stranger,Pn4E1
ezDDM: v,Odd-Even,0.26843,Stranger,Pn4E1
ezDDM: v,Permuted,0.42247,Stranger,Pn4E1
ezDDM: z,First-Second,0.07716,Stranger,Pn4E1
ezDDM: z,Odd-Even,0.36882,Stranger,Pn4E1
ezDDM: z,Permuted,0.28605,Stranger,Pn4E1
RT,First-Second,0.33218,Friend,Pn13E1
RT,Odd-Even,0.63842,Friend,Pn13E1
RT,Permuted,0.56227,Friend,Pn13E1
ACC,First-Second,-0.07873,Friend,Pn13E1
ACC,Odd-Even,0.19862,Friend,Pn13E1
ACC,Permuted,0.19257,Friend,Pn13E1
Dprime,First-Second,0.45493,Friend,Pn13E1
Dprime,Odd-Even,0.25644,Friend,Pn13E1
Dprime,Permuted,0.35117,Friend,Pn13E1
Efficiency,First-Second,0.02867,Friend,Pn13E1
Efficiency,Odd-Even,0.10367,Friend,Pn13E1
Efficiency,Permuted,0.06908,Friend,Pn13E1
ezDDM: v,First-Second,0.32543,Friend,Pn13E1
ezDDM: v,Odd-Even,0.14065,Friend,Pn13E1
ezDDM: v,Permuted,0.48088,Friend,Pn13E1
ezDDM: z,First-Second,-0.33973,Friend,Pn13E1
ezDDM: z,Odd-Even,0.31753,Friend,Pn13E1
ezDDM: z,Permuted,-0.20732,Friend,Pn13E1
RT,First-Second,0.64023,Stranger,Pn13E1
RT,Odd-Even,0.79412,Stranger,Pn13E1
RT,Permuted,0.72786,Stranger,Pn13E1
ACC,First-Second,0.69119,Stranger,Pn13E1
ACC,Odd-Even,0.90072,Stranger,Pn13E1
ACC,Permuted,0.49219,Stranger,Pn13E1
Dprime,First-Second,0.34848,Stranger,Pn13E1
Dprime,Odd-Even,0.66011,Stranger,Pn13E1
Dprime,Permuted,0.36331,Stranger,Pn13E1
Efficiency,First-Second,0.2341,Stranger,Pn13E1
Efficiency,Odd-Even,0.26693,Stranger,Pn13E1
Efficiency,Permuted,0.2169,Stranger,Pn13E1
ezDDM: v,First-Second,0.62983,Stranger,Pn13E1
ezDDM: v,Odd-Even,0.65766,Stranger,Pn13E1
ezDDM: v,Permuted,0.38662,Stranger,Pn13E1
ezDDM: z,First-Second,0.41122,Stranger,Pn13E1
ezDDM: z,Odd-Even,0.37916,Stranger,Pn13E1
ezDDM: z,Permuted,0.29165,Stranger,Pn13E1
RT,First-Second,0.5763,Father,Pn13E3
RT,Odd-Even,0.69674,Father,Pn13E3
RT,Permuted,0.74917,Father,Pn13E3
ACC,First-Second,0.38033,Father,Pn13E3
ACC,Odd-Even,0.0647,Father,Pn13E3
ACC,Permuted,0.04382,Father,Pn13E3
Dprime,First-Second,0.30665,Father,Pn13E3
Dprime,Odd-Even,0.54989,Father,Pn13E3
Dprime,Permuted,0.2879,Father,Pn13E3
Efficiency,First-Second,0.33051,Father,Pn13E3
Efficiency,Odd-Even,0.27822,Father,Pn13E3
Efficiency,Permuted,0.29151,Father,Pn13E3
ezDDM: v,First-Second,0.25655,Father,Pn13E3
ezDDM: v,Odd-Even,0.27088,Father,Pn13E3
ezDDM: v,Permuted,-0.01411,Father,Pn13E3
ezDDM: z,First-Second,-0.04708,Father,Pn13E3
ezDDM: z,Odd-Even,0.03217,Father,Pn13E3
