"","Target","Indice","Paper_ID","yi","Sample_Size","Trials","Author","Year","Exp"
"137","Close","ezDDM v","Pn4E1",0.742280474371772,29,30,"Golubickis & Macrae",2021,1
"138","Close","ezDDM v","Pn13E1",1.09668089079616,13,60,"Navon & Makovski",2021,1
"139","Close","ezDDM v","Pn13E3",0.120133649072255,28,60,"Navon & Makovski",2021,3
"140","Close","ezDDM v","Pn13E4",0.12955945559606,27,60,"Navon & Makovski",2021,4
"141","Close","ezDDM v","Pn16E1",1.36013427671948,20,50,"Svensson et al.",2022,1
"142","Close","ezDDM v","Pn16E2",0.976651809796971,24,100,"Svensson et al.",2022,2
"143","Close","ezDDM v","Pn16E3",0.994554624619292,24,100,"Svensson et al.",2022,3
"144","Close","ezDDM v","Pn23E1",0.717600310219476,105,60,"Xu et al.",2021,1
"145","Close","ezDDM v","P95E1",0.248588488211664,18,56,"Woźniak et al.",2018,1
"146","Close","ezDDM v","P95E2",0.688988550446613,18,60,"Woźniak et al.",2018,2
"147","Close","ezDDM v","Ps3E1",0.894047045426657,24,40,"Sui (unpublished)",2014,1
"148","Close","ezDDM v","Ps4E1",0.895136820998673,20,40,"Sui (unpublished)",2015,1
"149","Close","ezDDM v","Ps4E2",0.0334946107319596,21,40,"Sui (unpublished)",2015,2
"150","Close","ezDDM v","Ps5E1",0.122378137382633,24,60,"Sui et al.",2014,1
"151","Close","ezDDM v","Ps5E2",0.171209951163354,18,60,"Sui et al.",2014,2
"152","Close","ezDDM v","Ps5E3",1.9212870476733,22,60,"Sui et al.",2014,3
"153","Close","ezDDM v","Ps5E4",1.32634048744922,20,60,"Sui et al.",2014,4
"154","Close","ezDDM v","Pt2E1",0.680597333772051,142,20,"Hobbs et al.",2023,1
"155","Close","ezDDM v","Pt3E1",0.604611100279963,108,60,"Liang et al.",2021,1
"156","Close","ezDDM v","Pt9E1",0.0764361827998536,18,60,"Woźniak & Knoblich",2022,1
"157","Close","ezDDM v","Pt9E2",0.20089446613799,18,60,"Woźniak & Knoblich",2022,2
"158","Close","ezDDM v","Pt9E3",-0.25467536913185,18,60,"Woźniak & Knoblich",2022,3
"159","Close","ezDDM v","Pt18E1",0.80703901512552,20,160,"Sui et al.",2023,1
"160","Close","ezDDM v","P19E1",1.16236070955035,17,60,"Bukowski et al.",2021,1
"161","Close","ezDDM v","P19E2",1.18172755500567,34,60,"Bukowski et al.",2021,2
"162","Close","ezDDM v","P34E1",-0.0856767594335152,29,12,"Kolvoort et al.",2020,1
"163","Close","ezDDM v","Pt27E1",0.952746697044929,32,40,"Martínez-Pérez et al.",2024,2
"164","Close","ezDDM v","Pt13E1",0.418755218511775,46,20,"Feldborg et al.",2021,1
"165","Close","ezDDM v","Pt28E1",1.02954337276166,30,60,"Amodeo et al.",2024,1
"166","Close","ezDDM z","P0E1",0.118395153081342,33,60,"Hu et al.",2023,1
"167","Close","ezDDM z","P6E1",-0.527100450687437,46,20,"Constable & Knoblich",2020,1
"168","Close","ezDDM z","P54E1",-0.304307570363624,31,18,"Schäfer & Frings",2019,1
"169","Close","ezDDM z","P54E3",-0.149314638735188,33,24,"Schäfer & Frings",2019,3
"170","Close","ezDDM z","Pn4E1",-0.292191571265675,29,30,"Golubickis & Macrae",2021,1
"171","Close","ezDDM z","Pn13E1",1.17094894649084,13,60,"Navon & Makovski",2021,1
"172","Close","ezDDM z","Pn13E3",0.168292315794298,28,60,"Navon & Makovski",2021,3
"173","Close","ezDDM z","Pn13E4",0.0648914230171324,27,60,"Navon & Makovski",2021,4
"174","Close","ezDDM z","Pn16E1",-0.0566314939604046,20,50,"Svensson et al.",2022,1
"175","Close","ezDDM z","Pn16E2",0.43511243361438,24,100,"Svensson et al.",2022,2
"176","Close","ezDDM z","Pn16E3",0.321386125200033,24,100,"Svensson et al.",2022,3
"177","Close","ezDDM z","Pn23E1",0.372314803274659,105,60,"Xu et al.",2021,1
"178","Close","ezDDM z","P95E1",-0.287566807870524,18,56,"Woźniak et al.",2018,1
"179","Close","ezDDM z","P95E2",-0.202470125219757,18,60,"Woźniak et al.",2018,2
"180","Close","ezDDM z","Ps3E1",0.23739699235363,24,40,"Sui (unpublished)",2014,1
"181","Close","ezDDM z","Ps4E1",-0.00160953397104779,20,40,"Sui (unpublished)",2015,1
"182","Close","ezDDM z","Ps4E2",-0.51671544718906,21,40,"Sui (unpublished)",2015,2
